character,dialogue
Monica," Sadece nefes al, nefes al... hepsi bu. Sadece güzel, sakin şeyler düşünmeye çalış..."
Phoebe,"  Güllerin üzerinde yağmur damlaları, tavşanlar ve yavru kediler,  çan çiçekleri ve kızak çanları ve- eldivenli bir şey... La la la la... bir şey ve ipli erişte. Bunlar birkaçı..."
Rachel, Şimdi daha iyiyim.
Phoebe,  Yardım ettim!
Monica," Tamam, bak, bu muhtemelen en iyisi, biliyor musun? Bağımsızlık. Hayatının kontrolünü ele almak. Tüm 'şapka' olayı."
Joey,"  Ve hey, bir şeye ihtiyacın olursa, her zaman Joey'e gelebilirsin. Ben ve Chandler koridorun karşısında yaşıyoruz. Ve o çok uzakta."
Monica," Joey, ona asılmayı bırak! Düğün günü!"
Joey," Ne, sanki bir kural falan mı var?"
Chandler," Lütfen bunu bir daha yapma, korkunç bir ses."
Paul,"  Bu, şey, Paul."
Monica," Aman Tanrım, saat 6:30 mu? Onu içeri al!"
Joey, Paul kim?
Ross," Paul the Wine Guy, Paul?"
Monica, Belki. Joey: Bekle. Bu geceki 'gerçek bir randevun değil' Paul the Wine Guy ile mi?
Ross, Sonunda sana çıkma teklif etti mi?
Monica, Evet!
Chandler," Ooh, bu bir Sevgili Günlük anı."
Monica," Rach, bekle, iptal edebilirim..."
Rachel," Lütfen, hayır, git, sorun olmaz!"
Monica,"  İyi misin? Yani, kalmamı ister misin?"
Ross,  Bu iyi olur...
Monica,  Gerçekten mi?
Ross,"  Hayır, devam et! Bu Paul the Wine Guy!"
Phoebe," Bu ne anlama geliyor? Satıyor mu, içiyor mu yoksa sadece çok mu şikayet ediyor?"
Monica," Merhaba, içeri gel! Paul, bu... ... herkes, herkes, bu Paul."
Hepsi, Hey! Paul! Merhaba! Şarap Adamı! Hey!
Chandler," Özür dilerim, adını duyamadım. Paul muydu?"
Monica," Tamam, umm-umm, hemen geri döneceğim, gitmem gerek ah, gitmem gerek..."
Ross, Gezinme mi?
Monica," Değiştir! Tamam, otur.  İki saniye."
Phoebe," Ooh, dört kirpik çıkardım. Bu iyi olamaz."
Joey," Hey, Paul!"
Paul, Evet?
Joey," İşte sana küçük bir ipucu, boynunu aynı noktaya tekrar tekrar sürttüğünde ve sonunda hafifçe kızarmaya başladığında gerçekten hoşuna gidiyor."
Monica,"  Kes sesini, Joey!"
Ross," Peki Rachel, ne yapıyorsun, şey... bu gece ne yapıyorsun?"
Rachel," Aslında balayım için Aruba'ya gidecektim, yani hiçbir şey!"
Ross," Doğru, balayına bile gitmiyorsun, Tanrım.. Hayır, hayır, ama Aruba, yılın bu zamanı... büyük kertenkelelerinden bahsetmişken... Neyse, bu gece yalnız kalmak istemiyorsan, Joey ve Chandler yeni mobilyalarımı bir araya getirmeme yardım etmek için yanıma gelecekler."
Chandler,  Evet ve bunun için çok heyecanlıyız.
Rachel, Aslında teşekkürler ama sanırım bu gece burada takılacağım. Uzun bir gün oldu.
Ross," Tamam, tabii."
Joey," Hey Pheebs, yardım etmek ister misin?"
Phoebe," Ah, keşke yapabilseydim ama istemiyorum."
Phoebe,"  Aşk yaz yağmurları kadar tatlıdır, aşk harikulade bir sanat eseridir, ama senin aşkın ah senin aşkın, senin aşkın... kalbime pisleyen dev bir güvercin gibi. La-la-la-la-la-  Teşekkür ederim.  La-la-la-la...ohhh!"
Ross,"  Bir sürü küçük solucan adam kullanarak yan şeylere braketli bir şey takmam gerekiyor. Braketli bir şeyim yok, hiçbir kaprisli adam görmüyorum ve- bacaklarımı hissedemiyorum."
Joey, Sanırım burada bir kitaplığımız var.
Chandler, Çok güzel bir şey.
Joey,  Bu ne?
Chandler, Bunun 'L' şeklinde bir braket olduğunu söyleyebilirim.
Joey, Hangisi nereye gidiyor?
Chandler, Hiçbir fikrim yok.
Joey, Kitaplıkla işim bitti!
Chandler, Tamamdır!
Ross,"  Bu Carol'ın en sevdiği biraydı. Her zaman kutudan içerdi, bilmeliydim."
Joey," Hey-hey-hey-hey, eğer bunlarla başlayacaksan buradan gidiyoruz."
Chandler," Evet, lütfen tüm bu eğlenceyi bozma."
Joey," Ross, sana bir soru sorayım. Mobilyaları, stereoyu, güzel televizyonu aldı - sen ne aldın?"
Ross, Beyler.
Chandler, Aman Tanrım.
Joey, İşin bitti.
Chandler, Aman Tanrım!
Monica, Aman Tanrım!
Paul," Biliyorum, biliyorum, ne kadar da aptalım. Sanırım haftada dört beş kez dişçiye gitmeye başladığında anlamalıydım. Yani, dişler ne kadar temiz olabilir ki?"
Monica," Kardeşim şu anda aynı şeyi yaşıyor, çok perişan. Bunu nasıl atlattın?"
Paul," Şey, yanlışlıkla değerli bir şeyini kırmayı deneyebilirsin, diyelim ki-"
Monica, -bacak?
Paul,"  Bu bir yol! Ben, ben-ben saate gittim."
Monica," Gerçekten saatini mi kırdın? Vay canına! Hayatımda yaptığım en kötü şey, erkek arkadaşımın en sevdiği banyo havlusuyla parçalamaktı."
Paul," Ooh, senden uzak dur."
Monica, Doğru.
Rachel," Barry, üzgünüm... Çok üzgünüm... Muhtemelen bunun geçen gün çoraplarını giyip sevişmenle ilgili söylediklerimle ilgili olduğunu düşünüyorsundur ama bu... bu değil, bu benimle ilgili ve ben...  Merhaba, makine yine beni kesti... Neyse... Bak, bak, bir kızın Bayan Barry Finkel olmak için inanılmaz şanslı olacağını biliyorum ama bu ben değilim, ben değilim. Ve şu anda kim olduğumu bilmediğim için değil ama bana da bir şans vermelisin..."
Ross, Boşandım! Daha 26 yaşındayım ve boşandım!
Joey, Sus!
Chandler, Durmalısın!
Ross, Bu sadece bir saatimi aldı.
Chandler," Bak, Ross, anlamalısın, aramızda Mento'dan daha uzun süren bir ilişki olmadı. Ancak sen dört yıldır bir kadının aşkına sahipsin. Dört yıl süren yakınlık ve paylaşım, sonunda kalbini söktü ve bu yüzden yapmıyoruz! Sanırım benim demek istediğim bu değildi!"
Ross," En korkutucu kısmı ne biliyor musun? Ya herkes için sadece bir kadın varsa, biliyor musun? Yani ya bir kadın bulursan- ve hepsi buysa? Ne yazık ki benim durumumda, sadece bir kadın vardı- onun için..."
Joey," Neyden bahsediyorsun? 'Tek kadın' mı? Bu senin için sadece bir dondurma çeşidi olduğunu söylemek gibi bir şey. Sana bir şey söyleyeyim, Ross. Bir sürü lezzet var. Rocky Road, Cookie Dough ve Bing! Cherry Vanilla var. Bunları Jimmy'lerle, fındıklarla veya kremayla alabilirsin! Başına gelen en iyi şey bu! Evlendin, sekiz yaşında falan mıydın? Dünyaya hoş geldin! Bir kaşık kap!"
Ross, Açıkçası aç mıyım yoksa azgın mıyım bilmiyorum.
Chandler, Dondurucumdan uzak dur!
Paul," Beni terk ettiğinden beri, ben, şey..."
Monica," Ne?..... Ne, erişteyle mi anlatmak istiyorsun?"
Paul," Hayır, daha çok beşinci buluşma gibi bir vahiy."
Monica," Ah, yani beşinci buluşma olacak mı?"
Paul, Değil mi?
Monica," Evet... evet, sanırım var. -Ne söyleyecektin?"
Paul," Şey, her zaman-her zaman-... beni terk ettiğinden beri, şey, performans gösteremedim.  ...Cinsel olarak."
Monica,"  Aman Tanrım, aman Tanrım, üzgünüm... Çok üzgünüm..."
Paul, Sorun değil...
Monica," Biliyorum, tükürülmek şu anda ihtiyacın olan şey değil. Şey... ne kadar?"
Paul, İki yıl.
Monica, Vay canına! Saatini parçaladığın için mutluyum!
Paul," Yani hala, şey... beşinci buluşmayı isteyebileceğini mi düşünüyorsun?"
Monica," ...Evet. Evet, öyleyim."
Televizyondaki Rahip," Bugün burada Joanne Louise Cunningham ve Charles, Chachi-Chachi-Chachi, Arcola'ya kutsal evlilik bağıyla katılmak için toplandık."
Rachel, Ah... bak... ama Joanne Chachi'yi seviyordu! İşte fark bu!
Ross,"  Bir kaşık al. Ne kadar zamandır bir kaşık almadığımı biliyor musun? 'Billy, kahraman olma' sözleri senin için bir şey ifade ediyor mu?"
Joey," Harika bir hikaye! Ama, şey, gitmem gerek, Andrea--Angela--Andrea ile bir randevum var... Aman Tanrım,"
Chandler," Angela çığlık atan, Andrea'nın kedileri var."
Joey, Doğru. Teşekkürler. Haziran geldi. Ben gidiyorum.
Ross," Biliyor musun, mesele şu. Bir kadını dışarı çıkmaya davet edecek kadar kendimi toparlasam bile... kimi davet edeceğim?"
Rachel," Bu harika değil mi? Yani, hayatım boyunca hiç kahve yapmadım."
Chandler, Bu harika.
Joey, Tebrikler.
Rachel," Biliyor musun, kahve yapabiliyorsam yapamayacağım hiçbir şey yoktur diye düşünüyorum."
Chandler, Polonya'yı işgal edebiliyorsam yapamayacağım hiçbir şey yoktur.
Joey," Dinle, işin başındayken, Batı usulü bir omlet veya benzeri bir şey yapmak zorundaysan...  Aslında o kadar da aç değilim..."
Monica,"  Aman Tanrım, Lenny ve Squigy geldi."
Hepsi, Günaydın. Günaydın.
Paul,  Günaydın.
Joey," Günaydın, Paul."
Rachel," Merhaba, Paul."
Chandler," Merhaba, Paul, öyle mi?"
Paul, Teşekkür ederim! Çok teşekkür ederim!
Monica, Dur!
Paul," Hayır, sana dün gecenin, tüm doğum günlerim, iki mezuniyetim ve Witness'taki ahır inşa etme sahnesi gibi olduğunu söylüyorum."
Monica, Daha sonra konuşuruz.
Paul, Evet.  Teşekkür ederim.
Joey, Bu gerçek bir buluşma değildi?! Gerçek bir buluşmada ne yaparsın?
Monica, Çeneni kapat ve masamı geri koy.
Hepsi, Tamamdır!
Chandler," Tamam çocuklar, işe gitmeliyim. Şu sayıları girmezsem... pek bir fark yaratmaz..."
Rachel," Yani, hepinizin işi var mı?"
Monica," Evet, hepimizin işi var. Bak, biz böyle şeyler satın alıyoruz."
Joey," Evet, ben bir oyuncuyum."
Rachel, Vay canına! Seni herhangi bir şeyde görür müydüm?
Joey, Şüpheliyim. Çoğunlukla bölgesel işler.
Monica," Ah, bekle, bekle, tabii parktaki küçük tiyatroda Pinokyo'nun Reruns prodüksiyonunu izlemediysen."
Joey," Bak, bu bir işti tamam mı?"
Chandler," 'Bak, Gippetto, ben gerçek bir canlı çocuğum.'"
Joey, Bu tacizi kabul etmeyeceğim.
Chandler," Haklısın, özür dilerim.  ""Bir zamanlar tahta bir çocuktum, küçük tahta bir çocuk..."""
Joey," İkiniz de bilmelisiniz ki o ölü bir adam. Ah, Chandler?"
Monica, Peki bugün nasılsın? İyi uyudun mu? Barry ile konuş? Gülümsemeyi bırakamıyorum.
Rachel, Bunu görebiliyorum. Ağzında bir askıyla uyumuşsun gibi görünüyorsun.
Monica," Biliyorum, o çok, çok... Seni ve Tony DeMarco'yu hatırlıyor musun?"
Rachel," Oh, evet."
Monica," Şey, öyle işte. Duygularla."
Rachel, Vay canına. Başın dertte mi?
Monica, Çok büyük!
Rachel, Gelinlik mi istiyorsun? Neredeyse hiç kullanılmamış.
Monica, Sanırım biraz ileri gidiyoruz. Tamam. Tamam. Sadece kalkıp işe gideceğim ve bütün gün onu düşünmeyeceğim. Ya da sadece kalkıp işe gideceğim.
Rachel," Oh, bak, bana şans dile!"
Monica, Ne için?
Rachel, Şu  iş şeylerinden birini alacağım.
Frannie," Hey, Monica!"
Monica," Hey Frannie, hoş geldin! Florida nasıldı?"
Frannie," Seks yaptın, değil mi?"
Monica, Bunu nasıl yapıyorsun?
Frannie," Ah, senden nefret ediyorum, teyzem Roz'u Papağan Ormanı'nda itiyorum ve sen seks yapıyorsun! Peki? Kim?"
Monica, Paul'ü tanıyor musun?
Frannie," Şarap Adamı Paul? Evet, Paul'ü tanıyorum."
Monica, Paul'ü benim tanıdığım gibi mi tanıyorsun?
Frannie," Şaka mı yapıyorsun? Paul'ün hakkını ben alıyorum. Biliyor musun, benden önce, kaplumbağası iki yıl boyunca kıpırdamadı."
Joey, Elbette bir sıraydı!
Monica," Neden?! Neden? Neden, neden biri böyle bir şey yapsın ki?"
Ross, Sanırım 'seni yatağa atmak'tan daha karmaşık bir cevap arıyoruz.
Monica, Erkeklerden nefret ediyorum! Erkeklerden nefret ediyorum!
Phoebe," Ah hayır, nefret etme, bunu evrene yaymak istemezsin."
Monica, Ben miyim? Sanki sadece köpeklerin ve ciddi duygusal sorunları olan erkeklerin duyabileceği bir tür işaret fişeğim mi var?
Phoebe," Tamam, gel, ayaklarını ver bana."
Monica," Ben sadece onun iyi biri olduğunu düşünmüştüm, biliyor musun?"
Joey,  Bunun bir replik olduğunu bilmediğine inanamıyorum!
Rachel, Tahmin et bakalım?
Ross, İş mi buldun?
Rachel, Şaka mı yapıyorsun? Hiçbir şey için eğitilmedim! Bugün on iki röportajda kahkahalarla elendim.
Chandler, Ve yine de şaşırtıcı derecede iyimsersin.
Rachel," John ve David botlarını indirimde bulsaydın sen de öyle olurdun, yüzde elli indirim!"
Chandler," Ah, beni ne kadar iyi tanıyorsun..."
Rachel," Bunlar benim yeni 'Bir işe ihtiyacım yok, anne babama ihtiyacım yok, harika botlarım var' botlarım!"
Monica, Bunları nasıl ödedin?
Rachel," Şey, kredi kartı."
Monica, Ve bunu kim ödüyor?
Rachel, Şey... babam.
Rachel," Aman Tanrım, hadi çocuklar, bu gerçekten gerekli mi? Yani, istediğim zaman ücret almayı bırakabilirim."
Monica," Hadi canım, hayatın boyunca anne babanın sırtından geçinemezsin."
Rachel, Bunu biliyorum. Bu yüzden evleniyordum.
Phoebe," Ona bir şans ver, ilk defa kendi başına olmak zor."
Rachel, Teşekkür ederim.
Phoebe," Rica ederim. Bu şehre ilk geldiğim zamanı hatırlıyorum. On dört yaşındaydım. Annem yeni intihar etmişti ve üvey babam tekrar hapisteydi, ben de buraya geldim ve kimseyi tanımıyordum. Ve liman otoritesinin dışında araba camlarını temizleyen albino bir adamla yaşamaya başladım, sonra kendini öldürdü ve sonra aromaterapi buldum. İnan bana, tam olarak nasıl hissettiğini biliyorum."
Ross, Aradığın kelime 'Neyse'...
Monica," Tamam, hazır mısın?"
Rachel," Hayır. Hayır, hayır, hazır değilim! Nasıl hazır olabilirim? ""Hey, Rach! Paraşütün olmadan uçaktan atlamaya hazır mısın?"" Hadi ama, bunu yapamam!"
Monica," Yapabilirsin, biliyorum yapabilirsin!"
Rachel, Sanmıyorum.
Ross," Hadi ama, kahve yaptın! Her şeyi yapabilirsin!"
Ross," Hadi, kes. Kes, kes, kes, kes,..."
Hepsi," Kes, kes, kes, kes, kes, kes, kes..."
Rachel, Biliyor musun? Sanırım bunu burada bırakabiliriz. Bir nevi sembolik bir jest gibi...
Monica, Rachel! O bir kütüphane kartıydı!
Hepsi," Kes, kes, kes, kes, kes, kes, kes, kes.."
Chandler,"  Biliyor musun, yakından dinlersen, binlerce perakendecinin çığlık attığını duyabilirsin."
Monica, Gerçek dünyaya hoş geldin! Çok kötü. Bayılacaksın!
Monica," Tamam, bu kadar  Kanepede mi kalacaksın?"
Ross," Hayır. Hayır, bir ara eve gitmeliyim."
Monica, İyi misin?
Ross, Evet.
Rachel," Hey Mon, bak yerde ne buldum.  Ne?"
Monica, Bu Paul'ün saati. Onu bulduğun yere geri koydun. Aman Tanrım. Tamam. Herkese iyi geceler.
Ross ve Rachel, İyi geceler.
Ross," Mmm.  Oh, hayır-"
Rachel, Özür dilerim-
Ross," Hayır hayır hayır, git-"
Rachel," Hayır, sende, gerçekten, istemiyorum-"
Ross, Bölmek mi?
Rachel, Tamam.
Ross," Tamam.  Muhtemelen bunu bilmiyordun ama lisedeyken, sana, şey, büyük bir aşıktım."
Rachel, Biliyordum.
Ross, Biliyordun! Oh.... Her zaman sadece Monica'nın geek ağabeyi olduğumu düşündüğünü düşünürdüm.
Rachel, Biliyordum.
Ross," Oh. Dinle, sence - ve yoğun kırılganlığımın burada bir etken olmasına izin vermemeye çalış - ama sana çıkma teklif etsem sorun olur mu sence? Bir ara? Belki?"
Rachel," Evet, belki..."
Ross," Tamam... tamam, belki yaparım..."
Rachel, İyi geceler.
Ross, İyi geceler.
Monica," Görüşürüz... Bekle, neyin var senin?"
Ross, Az önce bir kaşık aldım.
Joey, Burada duyduklarıma inanamıyorum.
Phoebe,  Burada duyduklarıma inanamıyorum...
Monica, Ne? B-ben senin bir-
Phoebe,  Senin bir-
Monica,  Durur musun?
Phoebe," Ah, yine mi yapıyordum?"
Hepsi, Evet!
Monica," Güzel bir popon olduğunu söyledim, sadece harika bir popo değil."
Joey," Ah, eğer gelip seni ısırırsa harika bir popo olduğunu anlayamazsın."
Ross, Bir görüntü var.
Rachel,  Daha fazla kahve isteyen var mı?
Chandler," Sen mi yaptın, yoksa sadece servis mi ediyorsun?"
Rachel, Sadece servis ediyorum.
Hepsi," Evet. Evet, bir fincan kahve alacağım."
Chandler," Çocuklar, yeni rüya... Las Vegas'tayım."
Müşteri,"  Ahh, hanım? Daha fazla kahve?"
Rachel," Ugh.  Affedersiniz, bunu oradaki adama verebilir misiniz?  Hadi.  Teşekkür ederim.  Özür dilerim. Tamam, Las Vegas."
Chandler," Tamam, yani, Las Vegas'tayım... Ben Liza Minelli-"
Monica," Anlamadığınız şey, bizim için öpüşmenin bunun herhangi bir parçası kadar önemli olması."
Joey," Evet, değil mi!.......Ciddi misin?"
Phoebe," Oh, evet!"
Rachel, Bilmen gereken her şey o ilk öpücükte.
Monica, Kesinlikle.
Chandler," Evet, bence bizim için öpüşmek bir açılış gösterisi gibi, anlıyor musun? Yani Pink Floyd çıkmadan önce izlemen gereken bir stand-up komedyeni gibi."
Ross," Evet, ve-ve komedyeni sevmediğimizden değil, o-o... bileti bu yüzden almadık."
Chandler," Sorun şu ki, konser bittikten sonra, gösteri ne kadar harika olursa olsun, kızlar her zaman tekrar komedyeni arıyor, anlıyor musun? Yani, arabadayız, trafikle boğuşuyoruz... temelde sadece uyanık kalmaya çalışıyoruz."
Rachel," Evet, peki, bir tavsiye: Komedyeni geri getir. Aksi takdirde bir dahaki sefere kendini evde oturup, tek başına o albümü dinlerken bulacaksın."
Joey, .... Hala seksten mi bahsediyoruz?
Ross," Hayır, iyi, iyi, sadece- mm- biraz sinirli görünmüyor mu?"
Marsha," Şey, sorunları var."
Ross, Öyle mi.
Marsha," O dışarıda bir sopayla diğer kadınların kafasına vuruyor, o ise evde oturup halının üzerindeki mastodon kokusunu gidermeye çalışıyor!"
Ross," Marsha, bunlar mağara insanları. Tamam mı? 'Aman Tanrım, şu buzul yaklaşıyor.' gibi sorunları var. Gördün mü?"
Marsha," Sorunlardan bahsetmişken, o senin eski karın değil mi?"
Ross,  Hayır. Hayır.
Marsha," Evet, öyle. Carol! Merhaba!"
Ross," Tamam, tamam, evet, öyle.  Peki, şey, seninle Buz Devri'nde buluşalım."
Ross, Merhaba.
Carol, Yani.
Ross," Harika görünüyorsun. Ben, şey... Bundan nefret ediyorum."
Carol, Üzgünüm. Sen de iyi görünüyorsun.
Ross," Ah, şey, burada, dik duran herkes... Peki yeni ne var? Yine de, şey..."
Carol, Lezbiyen mi?
Ross," Şey... asla bilemezsin. Nasıl, şey... aile nasıl?"
Carol," Marty hala tamamen paranoyak. Ah, ve, şey-"
Ross," Neden- neden buradasın, Carol?"
Carol, Hamileyim.
Ross, Hamile mi?!
Chandler," Ah, sanırım bu Three's Company'nin bir tür yanlış anlaşılmanın yaşandığı bölümü."
Phoebe,...O zaman bunu çoktan gördüm!
Monica,  Bunu bitirdin mi?
Joey," Evet, üzgünüm, yutkunmak beni yavaşlattı."
Monica, Bu küçük kağıt topu kimin?!
Chandler," Ah, şey, o benim olurdu. Bak, kendime bir not yazdım ve sonra ihtiyacım olmadığını fark ettim, bu yüzden onu toplayıp...  ...şimdi keşke ölmüş olsaydım."
Phoebe," O yastığı çoktan kabartmış... Monica, bilirsin, sen onu çoktan kabartmışsındır-  -ama sorun değil!"
Monica," Bakın, üzgünüm çocuklar, onlara zaten sahip olduklarından daha fazla cephane vermek istemiyorum."
Chandler, Evet ve hepimiz bir ebeveynin çocuğunun yastığının düzlüğü konusunda ne kadar acımasız olabileceğini biliyoruz.
Phoebe," Monica- Merhaba! Şey, Monica, beni korkutuyorsun. Yani, sanki, sanki kaotik ve dönüyorsun. Ve iyi anlamda değil."
Joey," Evet, sakin ol. Ross'un her geldiğinde kaotik ve dönüyor olduğunu görmüyorsun."
Monica," Bunun nedeni, ailem açısından Ross'un hiçbir yanlış yapamaması. Bakın, o Prens. Görünüşe göre ben doğmadan önce büyük bir tören yapmışlar."
Chandler,"  İyy, iii, iii, iii iii iii iii!"
Monica, Ne?
Chandler, Çirkin Çıplak Adam'a Thighmaster yaptırıldı!
Hepsi, İyy!
Rachel, Nişan yüzüğümü gören oldu mu?
Phoebe," Evet, çok güzel."
Rachel," Aman Tanrım, aman Tanrım, aman Tanrım aman Tanrım aman Tanrım..."
Phoebe," Hayır, bak, ona dokunma!"
Rachel," Ah, sanki yarını yeterince korkutmuyormuşum gibi, ona geri vermek zorunda kalmak... 'Merhaba Barry! Beni hatırlıyor musun? Ben tüm ailenin önünde kalbini çiğneyen peçeli kızım!' Aman Tanrım ve şimdi yüzüğü geri vermek zorundayım, yüzük olmadan, bu da işi çok daha zorlaştırıyor..."
Monica," Sakin ol Rach, bulacağız.  Öyle değil mi!"
Chandler ve Joey, Ah! Evet!
Joey," Tamam, en son ne zaman takmıştın?"
Phoebe, Vay canına! Muhtemelen kaybetmeden hemen önce!
Chandler, Bu günlerde pek fazla 'doy' duymuyorsun...
Rachel, Bunu bu sabah yaşadığımı biliyorum ve mutfaktayken yaşadığımı biliyorum...
Chandler, ...Dinah?
Rachel,"  Ohhhhh, kızma..."
Monica, Sen yapmadın.
Rachel," Ah, üzgünüm..."
Monica, Sana bir iş verdim!
Rachel," Ah, ama şu eriştelerin ne kadar düz olduğuna bak!"
Chandler," Şimdi, Monica, lazanyada nişan yüzüğünü böyle aramayacağını biliyorsun..."
Monica,  Ben sadece... yapamam.
Chandler, Çocuklar? İçeri giriyoruz.
Ross, .....Merhaba.
Monica, Vay canına. Bu mutlu bir merhaba değil.
Ross, Carol hamile.
Phoebe,  Ooh! Buldum!
Monica, W-w-wh-... wha-... w-w-w-...
Ross," Evet. Bunu iki saat daha yap, şu anda benim olduğum yerde olabilirsin."
Chandler," Yastık olayını biraz perspektife oturtuyor, değil mi Mon?"
